,wav_file,sentence_number,word,silence_length,speech_rate,voice,condition,pronounced_item,word_numbers,depth,opening_nodes,closing_nodes,relative_depth,tree_segment,indices,file
0,0.0,1,Easy,0.35,160,Allison,sentence,1,0,3,3,1,0,(N(NP-TTL(JJEasy),"(0, 0, 0)",easy_money.mrg
1,0.0,1,Money,0.35,160,Allison,sentence,1,1,3,1,2,0,(NNMoney)),"(0, 1, 0)",easy_money.mrg
2,0.0,1,by,0.35,160,Allison,sentence,1,2,3,2,1,-1,(PP(INby),"(1, 0, 0)",easy_money.mrg
3,0.0,1,Bill,0.35,160,Allison,sentence,1,3,4,2,1,0,(NP(NNPBill),"(1, 1, 0, 0)",easy_money.mrg
4,0.0,1,Glover,0.35,160,Allison,sentence,1,4,4,1,4,1,(NNPGlover)))),"(1, 1, 1, 0)",easy_money.mrg
5,0.0,2,Charles,0.024,160,Allison,sentence,1,0,3,3,1,0,((NP-SBJ(NNPCharles),"(0, 0, 0)",easy_money.mrg
6,0.0,2,Acres,0.024,160,Allison,sentence,1,1,3,1,2,0,(NNPAcres)),"(0, 1, 0)",easy_money.mrg
7,0.0,2,called,0.024,160,Allison,sentence,1,2,3,2,1,-1,(V(VBDcalled),"(1, 0, 0)",easy_money.mrg
8,0.0,2,me,0.024,160,Allison,sentence,1,3,4,2,2,0,(NP(PRPme)),"(1, 1, 0, 0)",easy_money.mrg
9,0.0,2,on,0.024,160,Allison,sentence,1,4,4,2,1,-1,(PP-TMP(INon),"(1, 2, 0, 0)",easy_money.mrg
10,0.0,2,a,0.024,160,Allison,sentence,1,5,5,2,1,0,(NP(DTa),"(1, 2, 1, 0, 0)",easy_money.mrg
11,0.0,2,Thursday,0.024,160,Allison,sentence,1,6,5,1,1,0,(NNPThursday),"(1, 2, 1, 1, 0)",easy_money.mrg
12,0.0,2,afternoon,0.024,160,Allison,sentence,1,7,5,1,3,5,(NNafternoon))),"(1, 2, 1, 2, 0)",easy_money.mrg
13,0.0,2,nent,0.024,160,Allison,pseudo_words,1,7,0,0,0,-3,,0,easy_money.mrg
14,0.0,2,",",0.024,160,Allison,sentence,0,7,3,1,1,-2,"(,,)","(1, 3, 0)",easy_money.mrg
15,0.0,2,just,0.024,160,Allison,sentence,1,8,5,3,2,1,(PP-MNR(ADVP(RBjust)),"(1, 4, 0, 0, 0)",easy_money.mrg
16,0.0,2,like,0.024,160,Allison,sentence,1,9,4,1,1,-1,(INlike),"(1, 4, 1, 0)",easy_money.mrg
17,0.0,2,that,0.024,160,Allison,sentence,1,10,5,2,4,3,(NP(DTthat)))),"(1, 4, 2, 0, 0)",easy_money.mrg
18,0.0,2,.,0.024,160,Allison,sentence,0,10,2,1,2,-2,(..)),"(2, 0)",easy_money.mrg
19,0.0,3,I,0.007,160,Allison,sentence,1,0,4,4,2,0,(((NP-SBJ(PRPI)),"(0, 0, 0, 0)",easy_money.mrg
20,0.0,3,had,0.007,160,Allison,sentence,1,1,4,2,1,0,(V(VBDhad),"(0, 1, 0, 0)",easy_money.mrg
21,0.0,3,n't,0.007,160,Allison,sentence,1,2,4,1,1,-1,(RBn't),"(0, 1, 1, 0)",easy_money.mrg
22,0.0,3,seen,0.007,160,Allison,sentence,1,3,5,2,1,-1,(V(VBNseen),"(0, 1, 2, 0, 0)",easy_money.mrg
23,0.0,3,him,0.007,160,Allison,sentence,1,4,6,2,2,0,(NP(PRPhim)),"(0, 1, 2, 1, 0, 0)",easy_money.mrg
24,0.0,3,since,0.007,160,Allison,sentence,1,5,6,2,1,-2,(PP-TM(INsince),"(0, 1, 2, 2, 0, 0)",easy_money.mrg
25,0.0,3,high,0.007,160,Allison,sentence,1,6,8,3,1,0,(N(NP(JJhigh),"(0, 1, 2, 2, 1, 0, 0, 0)",easy_money.mrg
26,0.0,3,-,0.007,160,Allison,sentence,0,6,8,1,1,0,(HYPH-),"(0, 1, 2, 2, 1, 0, 1, 0)",easy_money.mrg
27,0.0,3,school,0.007,160,Allison,sentence,1,7,8,1,2,1,(NNschool)),"(0, 1, 2, 2, 1, 0, 2, 0)",easy_money.mrg
28,0.0,3,",",0.007,160,Allison,sentence,0,7,7,1,1,-2,"(,,)","(0, 1, 2, 2, 1, 1, 0)",easy_money.mrg
29,0.0,3,maybe,0.007,160,Allison,sentence,1,8,9,3,2,-2,(RR(ADVP-TMP(RBmaybe)),"(0, 1, 2, 2, 1, 2, 0, 0, 0)",easy_money.mrg
30,0.0,3,twenty,0.007,160,Allison,sentence,1,9,11,4,2,1,(ADVP-TM(NP(QP(CDtwenty)),"(0, 1, 2, 2, 1, 2, 1, 0, 0, 0, 0)",easy_money.mrg
31,0.0,3,years,0.007,160,Allison,sentence,1,10,10,1,2,1,(NNSyears)),"(0, 1, 2, 2, 1, 2, 1, 0, 1, 0)",easy_money.mrg
32,0.0,3,before,0.007,160,Allison,sentence,1,11,9,1,8,7,(RBbefore)))))))),"(0, 1, 2, 2, 1, 2, 1, 1, 0)",easy_money.mrg
33,0.0,3,",",0.007,160,Allison,sentence,0,11,2,1,1,0,"(,,)","(1, 0)",easy_money.mrg
34,0.0,3,and,0.007,160,Allison,sentence,1,12,2,1,1,-2,(CCand),"(2, 0)",easy_money.mrg
35,0.0,3,we,0.007,160,Allison,sentence,1,13,4,3,2,0,((NP-SBJ(PRPwe)),"(3, 0, 0, 0)",easy_money.mrg
36,0.0,3,were,0.007,160,Allison,sentence,1,14,4,2,1,-1,(V(VBDwere),"(3, 1, 0, 0)",easy_money.mrg
37,0.0,3,never,0.007,160,Allison,sentence,1,15,5,2,2,0,(ADVP-TMP(RBnever)),"(3, 1, 1, 0, 0)",easy_money.mrg
38,0.0,3,buddies,0.007,160,Allison,sentence,1,16,5,2,2,0,(NP-PRD(NNSbuddies)),"(3, 1, 2, 0, 0)",easy_money.mrg
39,0.0,3,in,0.007,160,Allison,sentence,1,17,5,2,1,-1,(PP(INin),"(3, 1, 3, 0, 0)",easy_money.mrg
40,0.0,3,the,0.007,160,Allison,sentence,1,18,6,2,1,0,(NP(DTthe),"(3, 1, 3, 1, 0, 0)",easy_money.mrg
41,0.0,3,first,0.007,160,Allison,sentence,1,19,6,1,1,0,(JJfirst),"(3, 1, 3, 1, 1, 0)",easy_money.mrg
42,0.0,3,place,0.007,160,Allison,sentence,1,20,6,1,5,4,(NNplace))))),"(3, 1, 3, 1, 2, 0)",easy_money.mrg
